web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-85","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Georgia","GEO","GEO","GEO"
"1571845386-92","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Guadeloupe","","","GLP"
"1571845386-60","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Curaçao","","","CUW"
"1571845386-170","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Oman","OMA","OMA","OMN"
"1571845386-58","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Croatia","CRO","CRO","HRV"
"1571845386-12","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Argentina","ARG","ARG","ARG"
"1571845386-176","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Paraguay","PAR","PAR","PRY"
"1571845386-241","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","United States Virgin Islands[20]","ISV","VIR","VIR"
"1571845386-192","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Saint Martin (French part)","","","MAF"
"1571845386-196","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","San Marino","SMR","SMR","SMR"
"1571845386-214","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Sudan","SUD","SDN","SDN"
"1571845386-134","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Macedonia[14]","MKD","MKD","MKD"
"1571845386-151","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Montenegro","MNE","MNE","MNE"
"1571845386-153","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Morocco","MAR","MAR","MAR"
"1571845386-36","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Brunei","BRU","BRU","BRN"
"1571845386-205","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Sint Maarten (Dutch part)","","","SXM"
"1571845386-43","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cape Verde","CPV","CPV","CPV"
"1571845386-230","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Tunisia","TUN","TUN","TUN"
"1571845386-29","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Caribbean Netherlands","AHO","","BES"
"1571845386-245","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Vatican City State","","","VAT"
"1571845386-13","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Armenia","ARM","ARM","ARM"
